Song Title,Artist,Song ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),duration (secs),top year
First Class,Jack Harlow,0wHFktze2PHC5jDt3B17DC,83,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,173.948,2022
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,92,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,200.04,2022
MAMIII,Becky G,1ri9ZUkBJVFUdgwzCnfcYs,81,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,226.088,2022
Where Are You Now,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,87,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,148.197,2022
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,87,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,230.747,2022
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,84,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,287.12,2022
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,86,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,178.147,2022
Dandelions,Ruth B.,2eAvDnpXP5W0cVtiI0PUxV,90,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,233.72,2022
About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,82,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,191.822,2022
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,84,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,143.901,2022
I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,93,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,148.486,2022
My Universe,Coldplay,46HNZY1i7O6jwTA7Slo2PI,82,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,226.198,2022
La Bachata,Manuel Turizo,5ww2BF9slyYgNOk37BlC4u,91,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,162.638,2022
Una Noche en Medellín,Cris Mj,1O2pcBJGej0pmH2Y9XZMs6,87,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,153750,153.75,2022
I Love You So,The Walters,4SqWKzw0CbA05TGszDgMlc,88,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,160.24,2022
Infinity,Jaymes Young,1SOClUWhOi8vHZYMz3GluK,83,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,237.72,2022
Party,Bad Bunny,4tYFy8ALRjIZvnvSLw5lxN,84,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,227.629,2022
